Search     Found    Seq. search     Bin search     Enhanced search
   9028310   9028310          90445             16                  17
   6707432   6707432          67150             13                  13
   9844183   9844183          98510             12                  12
   3326647   3326647          33259             15                  22
   4848758   4848758          48587             16                  17
   1335814   1335814          13433             14                  19
   1921986   1921986          19261             12                  12
   3013963   3013963          30146             15                  22
   2013319   2013319          20183             14                  19
   1777583   1777583          17891             15                  22
   7830455   7830455          78470             16                  17
   8460764   8460764          84682             15                  16
   4614403   4614403          46284             15                  22
   2760589   2760589          27618             16                  20
   3230257   3230257          32287             16                  14
   1537958   1537958          15527             10                  10
   6235049   6235049          62432             14                  19
   2892464   2892464          28924             14                  19
    715919    715919           7245             16                  20
   7602155   7602155          76191             17                  21
   6377954   6377954          63806             17                  15
    633945    633945           6355             17                  21
   6658175   6658175          66651             17                  15
   7683539   7683539          77025             16                  14
   7820404   7820404          78377             15                  22
   3536635   3536635          35371             17                  21
   1665402   1665402          16756             15                  22
   8748274   8748274          87561             16                  14
   2947637   2947637          29453             17                  24
   5771895   5771895          57876             16                  17
    236059    236059           2351             17                  21
   4198547   4198547          42038             16                  24
   8032806   8032806          80479             17                  24
   1105848   1105848          11177             15                  22
   3124641   3124641          31269             16                  20
   7394732   7394732          74115             17                  21
   7048191   7048191          70638             16                  23
   3282035   3282035          32807             17                  21
    616053    616053           6174             16                  23
    351866    351866           3565             15                  15
   4015180   4015180          40086             17                  24
   3334809   3334809          33339             16                  17
   6979775   6979775          69947             17                  15
    154175    154175           1547             16                  23
   2019395   2019395          20258             17                  21
   8335622   8335622          83504             15                  22
   8588724   8588724          85936             17                  24
   1571219   1571219          15846             17                  15
   4462028   4462028          44721             17                  21
   9775359   9775359          97849             16                  24
   5123219        -1         100000             17                  24
   5329563        -1         100000             17                  24
   2981590        -1         100000             17                  24
   7551694        -1         100000             17                  24
   1161307        -1         100000             17                  24
   8171127        -1         100000             17                  24
   7713369        -1         100000             17                  25
   9743520        -1         100000             17                  25
   7883579        -1         100000             17                  24
    335383        -1         100000             17                  25
   1814787        -1         100000             17                  24
   5347962        -1         100000             17                  24
   6061160        -1         100000             17                  24
   1818533        -1         100000             17                  24
   9740583        -1         100000             17                  24
   5419731        -1         100000             17                  24
   1290633        -1         100000             17                  24
   1750961        -1         100000             17                  24
   1755381        -1         100000             17                  24
    895987        -1         100000             17                  24
   5903380        -1         100000             17                  24
   4333854        -1         100000             17                  24
   7314359        -1         100000             17                  24
   8751768        -1         100000             17                  25
   5313311        -1         100000             17                  24
   4766805        -1         100000             17                  24
   1605717        -1         100000             16                  24
   5574300        -1         100000             17                  24
   5844343        -1         100000             17                  24
    925597        -1         100000             17                  24
    171050        -1         100000             17                  24
   6821570        -1         100000             17                  24
   7938343        -1         100000             17                  24
   1792487        -1         100000             17                  24
   6522997        -1         100000             17                  24
   9157205        -1         100000             17                  24
   9897496        -1         100000             17                  24
   1401963        -1         100000             17                  24
   1159735        -1         100000             17                  24
     24256        -1         100000             17                  24
   1518169        -1         100000             17                  24
   9392042        -1         100000             17                  24
   4918862        -1         100000             17                  24
   8661315        -1         100000             17                  24
   3117987        -1         100000             17                  24
   5392091        -1         100000             17                  24
   4194085        -1         100000             17                  24
   8172578        -1         100000             17                  24
   6435838        -1         100000             17                  24
   4763827        -1         100000             17                  24
